Product Name	Markdown Price	Regular Price	Ratings	Image link
Nivea Body Milk Shea Smooth Deep Moisture Serum 400ml	308	375	3	https://storage.googleapis.com/hng-static/plp/527142_1.jpg
Nivea Nourishing Lotion Body Milk with Deep Moisture Serum 400ml	308	375	3	https://storage.googleapis.com/hng-static/plp/508756_1.jpg
Nivea Whitening Smooth Skin Roll On 50ml	157	185	4	https://storage.googleapis.com/hng-static/product-tags/bestseller_gridview.png
St. Ives Revitalizing Body Lotion 621ml	454	649	0	https://storage.googleapis.com/hng-static/plp/554855_1.jpg
Vaseline Derma Care Advanced Repair Body Lotion 400ml	265	375	5	https://storage.googleapis.com/hng-static/plp/539742_1.jpg
Nivea Fresh Natural Roll-On 50ml	157	185	0	https://storage.googleapis.com/hng-static/plp/539745_1.jpg
POND'S Triple Vitamin Moisturising Body Lotion 300ml	180	250	0	https://storage.googleapis.com/hng-static/plp/508804_1.jpg
Plum Hello Aloe Caring Day moisturiser 60ml	353	470	5	https://storage.googleapis.com/hng-static/product-tags/cleanbeauty_gridview.png
St Ives Naturally Soothing Body Lotion With Oatmeal & Shea Butter 621ml	454	649	0	https://storage.googleapis.com/hng-static/plp/541543_1.jpg
Nivea Pearl And Beauty Antiperspirant Roll On 50ml	157	185	4	https://storage.googleapis.com/hng-static/plp/525286_1.jpg
Biotique Bio Aloe Vera Ultra Soothing Face Lotion SPF30+ 120ml	194	290	0	https://storage.googleapis.com/hng-static/plp/503350_1.jpg
St Ives Naturally Softening Body Lotion With Coconut Milk & Orchid Extract 621ml	454	649	0	https://storage.googleapis.com/hng-static/plp/541545_1.jpg
Biotique Creamy Coconut Body Lotion 180ml	144	180	0	https://storage.googleapis.com/hng-static/plp/554075_1.jpg
UCB United Dreams-Stay Positive Deodorant Spray For Women 150ml	195	390	5	https://storage.googleapis.com/hng-static/plp/539730_1.jpg
UCB Colors Blue Deodorant For Her 150ml	312	390	0	https://storage.googleapis.com/hng-static/plp/544403_1.jpg
Biotique White Orchid Body Lotion 200ml	144	180	0	https://storage.googleapis.com/hng-static/plp/554076_1.jpg
Ulric De Varens Chic-Issime Natural Spray 75ml + Deodorant 125ml	896	1195	0	https://storage.googleapis.com/hng-static/plp/522056_1.jpg
Ulric De Varens Gold-Issime Deodorant For Women 125ml	187	249	5	https://storage.googleapis.com/hng-static/plp/510241_1.jpg
Lakme Peach Milk moisturiser Body Lotion 120ml	179	199	5	https://storage.googleapis.com/hng-static/plp/508839_1.jpg
Plum Creme Caramel Body Butter 200gm	325	650	0	https://storage.googleapis.com/hng-static/product-tags/cleanbeauty_gridview.png
Ulric De Varens Pour Elle Chic Issime Deodorant For Women 125ml	187	249	0	https://storage.googleapis.com/hng-static/plp/510244_1.jpg
Engage Woman Deodorant Blush 150ml	166	195	0	https://storage.googleapis.com/hng-static/plp/533797_1.jpg
UCB United Dreams Live Free Deodorant For Women 150ml	312	390	0	https://storage.googleapis.com/hng-static/plp/539729_1.jpg
Plum Chamomile & White Tea After Sun Recovery Body Gel 175gm	431	575	1	https://storage.googleapis.com/hng-static/plp/554145_1.jpg
Vaseline Intensive Care Revitalizing Green Tea Body Lotion 400ml	255	345	0	https://storage.googleapis.com/hng-static/plp/554437_1.jpg
Biotique Gotu Kola Body Lotion 200ml	144	180	0	https://storage.googleapis.com/hng-static/plp/554074_1.jpg
POND'S Juliet Rose Fragrant & Smooth Skin Moisturising Body Lotion 300ml	190	270	0	https://storage.googleapis.com/hng-static/plp/554425_1.jpg
Ulric De Varens Divine Issime Deodorant 125ml	187	249	0	https://storage.googleapis.com/hng-static/plp/538355_1.jpg
Engage Women Deodorant Drizzle 150ml	162	190	0	https://storage.googleapis.com/hng-static/plp/535278_1.jpg
